"Countries_12","Purchasing.Power.Index","Safety.Index","Health.Care.Index","Cost.of.Living.Index","Property.Price.to.Income.Ratio","Traffic.Commute.Time.Index","Pollution.Index"
"Switzerland",0.934668989547038,0.722375690607735,0.726072607260726,0.864701436130008,0.1,0.310679611650485,0.160418482999128
"Germany",0.819686411149826,0.785911602209945,0.602310231023102,0.442176870748299,0.054054054054054,0.346278317152104,0.24411508282476
"Norway",0.645470383275261,0.814917127071823,0.717821782178218,1,0.116216216216216,0.110032362459547,0.018308631211857
"United Arab Emirates",1,0.582872928176795,0.468646864686469,0.351473922902494,0.0459459459459459,0.0857605177993528,0.454228421970357
"New Zealand",0.596689895470383,0.43232044198895,0.846534653465347,0.552532123960696,0.0783783783783784,0.218446601941748,0
"Sweden",0.689895470383275,0.578729281767956,0.846534653465347,0.564625850340136,0.167567567567568,0.182847896440129,0.134263295553618
"Canada",0.789198606271777,0.529005524861879,0.602310231023102,0.509448223733938,0.0567567567567568,0.464401294498382,0.213600697471665
"Denmark",0.689895470383275,0.453038674033149,0.896039603960396,0.690854119425548,0.0891891891891892,0.312297734627832,0.149084568439407
"Australia",0.771777003484321,0.517955801104972,0.719471947194719,0.72562358276644,0.110810810810811,0.411003236245955,0.175239755884917
"Austria",0.685540069686411,0.469613259668508,0.787128712871287,0.484504913076342,0.105405405405405,0.182847896440129,0.224062772449869
"Netherlands",0.641114982578397,0.68646408839779,0.575907590759076,0.560846560846561,0.0945945945945946,0.244336569579288,0.214472537053182
"United States",0.858885017421603,0.18232044198895,0.495049504950495,0.386999244142101,0,0.399676375404531,0.385353095030514
"Japan",0.553135888501742,1,1,0.773998488284203,0.381081081081081,0.563106796116505,0.308631211857018
"Ireland",0.563588850174216,0.441988950276243,0.0924092409240924,0.604686318972033,0.0837837837837838,0,0.244986922406277
"Slovenia",0.323170731707317,0.585635359116022,0.782178217821782,0.334845049130763,0.286486486486487,0.210355987055016,0.156059285091543
"France",0.616724738675958,0.459944751381216,0.745874587458746,0.526077097505669,0.208108108108108,0.279935275080906,0.389712292938099
"Israel",0.467770034843206,0.515193370165746,0.927392739273928,0.486772486772487,0.181081081081081,0.564724919093851,0.276373147340889
"United Kingdom",0.607142857142857,0.443370165745856,0.668316831683168,0.567649281934996,0.124324324324324,0.525889967637541,0.412380122057541
"Portugal",0.320557491289199,0.517955801104972,0.569306930693069,0.300075585789872,0.135135135135135,0.263754045307443,0.303400174367916
"Spain",0.575783972125436,0.62292817679558,0.567656765676568,0.379440665154951,0.191891891891892,0.239482200647249,0.597210113339146
"Belgium",0.56184668989547,0.517955801104972,0.770627062706271,0.604686318972033,0.0945945945945946,0.158576051779935,0.620749782040105
"Croatia",0.266550522648084,0.63121546961326,0.486798679867987,0.27588813303099,0.237837837837838,0.409385113268608,0.285963382737576
"Czech Republic",0.333623693379791,0.573204419889503,0.486798679867987,0.233560090702948,0.221621621621622,0.275080906148867,0.426329555361813
"Singapore",0.619337979094077,0.799723756906077,0.387788778877888,0.504157218442933,0.389189189189189,0.881877022653722,0.468177855274629
"South Africa",0.695993031358885,0,0.396039603960396,0.321995464852608,0.00540540540540539,0.368932038834952,0.626852659110724
"Saudi Arabia",0.525261324041812,0.629834254143646,0.0858085808580859,0.476946334089191,0,0.0663430420711974,0.831734960767219
"Turkey",0.284843205574913,0.714088397790055,0.569306930693069,0.255479969765684,0.0756756756756757,0.687702265372168,0.628596338273757
"Malaysia",0.452961672473868,0.0994475138121547,0.554455445544554,0.164021164021164,0.054054054054054,0.33495145631068,0.646033129904098
"Poland",0.337979094076655,0.544198895027624,0.334983498349835,0.141345427059713,0.256756756756757,0.398058252427184,0.581517000871839
"Mexico",0.341463414634146,0.215469613259669,0.735973597359736,0.167044595616024,0.0810810810810811,0.317152103559871,0.666085440278989
"Italy",0.414634146341463,0.295580110497238,0.533003300330033,0.489795918367347,0.264864864864865,0.422330097087379,0.596338273757628
"Hungary",0.156794425087108,0.657458563535912,0.404290429042904,0.219954648526077,0.210810810810811,0.210355987055016,0.637314734088928
"India",0.365853658536585,0.448895027624309,0.394389438943894,0,0.189189189189189,0.592233009708738,0.748038360941587
"Indonesia",0,0.748618784530387,0.966996699669967,0.130007558578987,1,0.40453074433657,0.232781168265039
"Serbia",0.0958188153310105,0.68232044198895,0.361386138613861,0.151171579743008,0.451351351351351,0.224919093851133,0.557105492589363
"Argentina",0.177700348432056,0.410220994475138,0.67986798679868,0.255479969765684,0.243243243243243,0.545307443365696,0.635571054925894
"Bulgaria",0.127177700348432,0.506906077348066,0.409240924092409,0.146636432350718,0.202702702702703,0.236245954692557,0.709677419354839
"Bosnia And Herzegovina",0.198606271777003,0.522099447513812,0.361386138613861,0.144368858654573,0.218918918918919,0.0857605177993528,0.830863121185702
"Romania",0.11411149825784,0.669889502762431,0.212871287128713,0.125472411186697,0.345945945945946,0.336569579288026,0.652136006974717
"Thailand",0.115853658536585,0.530386740331492,0.942244224422442,0.140589569160998,0.375675675675676,0.438511326860841,0.736704446381866
"Colombia",0.0775261324041811,0.426795580110497,0.881188118811881,0.207105064247921,0.313513513513514,0.522653721682848,0.648648648648649
"Greece",0.216898954703833,0.360497237569061,0.268976897689769,0.480725623582767,0.224324324324324,0.428802588996764,0.61639058413252
"Chile",0.269163763066202,0.299723756906077,0.392739273927393,0.2713529856387,0.178378378378378,0.483818770226537,0.75588491717524
"Brazil",0.101045296167247,0.259668508287293,0.389438943894389,0.402872260015117,0.337837837837838,0.296116504854369,0.573670444638187
"Pakistan",0.0531358885017422,0.267955801104972,0.410891089108911,0.0158730158730159,0.47027027027027,0.0210355987055016,0.734088927637315
"Philippines",0.0722996515679442,0.345303867403315,0.66996699669967,0.0793650793650793,0.159459459459459,0.699029126213592,0.868352223190933
"Russia",0.208188153310105,0.379834254143646,0,0.26530612244898,0.313513513513514,0.584142394822006,0.763731473408893
"Ukraine",0.0618466898954704,0.31353591160221,0.0792079207920791,0.131519274376417,0.375675675675676,0.344660194174757,0.724498692240628
"Egypt",0.0618466898954704,0.466850828729282,0.498349834983498,0.124716553287982,0.243243243243243,0.76537216828479,0.946817785527463
"Iran",0.229094076655052,0.361878453038674,0.13036303630363,0.151171579743008,0.262162162162162,1,1
"China",0.116724738675958,0.464088397790055,0.00990099009900985,0.130763416477702,0.732432432432433,0.29126213592233,0.92153443766347
